"Scenario","SampleSize","Method","Mean","SD","Bias","RMSE","Success_Rate"
"Scenario_1",100,"NN-Est1",1.04484531903162,0.342457424898845,0.0448453190316207,0.336785296760382,100
"Scenario_1",100,"NN-Est2",1.04817211120872,0.323974903251776,0.0481721112087183,0.319424957288019,100
"Scenario_1",200,"NN-Est1",1.1113138901559,0.650156701528487,0.111313890155904,0.643396714210543,100
"Scenario_1",200,"NN-Est2",1.10682400616993,0.637689314505734,0.10682400616993,0.630655727824022,100
"Scenario_1",500,"NN-Est1",0.954786248735386,0.255846844604934,-0.0452137512646136,0.253434430973781,100
"Scenario_1",500,"NN-Est2",0.965690528847088,0.260367647051686,-0.0343094711529119,0.256083747747612,100
"Scenario_1",1000,"NN-Est1",1.17664920740991,0.565666934286793,0.176649207409907,0.578951698327846,100
"Scenario_1",1000,"NN-Est2",1.18831859254093,0.601200257200385,0.188318592540935,0.615494560570211,100
"Scenario_1",2000,"NN-Est1",0.980078734786659,0.0713055086099151,-0.0199212652133414,0.0722987454103668,100
"Scenario_1",2000,"NN-Est2",0.978540536483558,0.0703214989367437,-0.021459463516442,0.0718217663837951,100
"Scenario_1",5000,"NN-Est1",1.07114620993751,0.357786924201791,0.0711462099375058,0.355911073390195,100
"Scenario_1",5000,"NN-Est2",1.07356785382694,0.383468401441146,0.0735678538269378,0.380930234131314,100
"Scenario_1",10000,"NN-Est1",0.997885958323848,0.0509327506759243,-0.00211404167615192,0.049688097257327,100
"Scenario_1",10000,"NN-Est2",0.996616445157458,0.0523740624033622,-0.00338355484254227,0.0511599329101613,100
"Scenario_2",100,"NN-Est1",0.925809652492916,0.263840064171216,-0.0741903475070843,0.267647544640334,100
"Scenario_2",100,"NN-Est2",0.909298458734646,0.254222887257192,-0.0907015412653543,0.263864704295639,100
"Scenario_2",200,"NN-Est1",1.03721098154652,0.366782288906033,0.0372109815465154,0.359426546362461,100
"Scenario_2",200,"NN-Est2",1.09139498822932,0.634518449111821,0.0913949882293232,0.625168795625265,100
"Scenario_2",500,"NN-Est1",0.950048411351272,0.11248896794996,-0.0499515886487281,0.120483362849219,100
"Scenario_2",500,"NN-Est2",0.954661077696373,0.11066778220149,-0.0453389223036268,0.117006871559669,100
"Scenario_2",1000,"NN-Est1",0.962758253332963,0.117572085050381,-0.0372417466670374,0.120494743116665,100
"Scenario_2",1000,"NN-Est2",0.956343621848045,0.125917712741559,-0.0436563781519554,0.130262758362891,100
"Scenario_2",2000,"NN-Est1",1.0150741147156,0.0524776901216393,0.0150741147156017,0.0533239298714637,100
"Scenario_2",2000,"NN-Est2",1.01416091987264,0.0515859090091803,0.0141609198726429,0.0522358340560163,100
"Scenario_2",5000,"NN-Est1",0.96439537095638,0.0625955596569457,-0.0356046290436201,0.0706398152153707,100
"Scenario_2",5000,"NN-Est2",0.960443705476891,0.0715175094283001,-0.0395562945231092,0.0801480934488438,100
"Scenario_2",10000,"NN-Est1",0.9884631087341,0.0248777357849885,-0.0115368912658995,0.026852495433004,100
"Scenario_2",10000,"NN-Est2",0.988708419225499,0.0247333739405107,-0.0112915807745005,0.0266205295504081,100
"Scenario_3",100,"NN-Est1",0.97198132251878,0.900529925723949,-0.0280186774812201,0.87817508849657,100
"Scenario_3",100,"NN-Est2",0.752064569861152,0.493553289640294,-0.247935430138848,0.54119043297822,100
"Scenario_3",200,"NN-Est1",0.860119590674031,0.218729835885847,-0.139880409325969,0.254984573973638,100
"Scenario_3",200,"NN-Est2",0.852444460113292,0.220926269209343,-0.147555539886708,0.26103760831857,100
"Scenario_3",500,"NN-Est1",0.948846929178017,0.124003783929531,-0.0511530708219826,0.131243011859369,100
"Scenario_3",500,"NN-Est2",0.951873062663159,0.124474790576148,-0.0481269373368413,0.130520024946179,100
"Scenario_3",1000,"NN-Est1",0.95147694731912,0.0989881279452496,-0.04852305268088,0.10799631309388,100
"Scenario_3",1000,"NN-Est2",0.947166909531322,0.103113629236867,-0.0528330904686783,0.113543537711971,100
"Scenario_3",2000,"NN-Est1",1.00783982702204,0.0554398154355361,0.00783982702204389,0.0546018073554856,100
"Scenario_3",2000,"NN-Est2",1.00581128025254,0.0573992964833409,0.00581128025253919,0.056246922165723,100
"Scenario_3",5000,"NN-Est1",0.97016466879629,0.0916428110784089,-0.0298353312037101,0.0941734122205964,100
"Scenario_3",5000,"NN-Est2",0.964224795788669,0.0962674448503777,-0.0357752042113306,0.100418699092758,100
"Scenario_3",10000,"NN-Est1",1.00872022930222,0.0211678407740762,0.00872022930221683,0.0223990180134767,100
"Scenario_3",10000,"NN-Est2",1.00787008250829,0.0209296320745132,0.00787008250828936,0.0218651600159488,100
"Scenario_4",100,"NN-Est1",0.89658984384998,1.13303115163876,-0.10341015615002,1.10917323779905,100
"Scenario_4",100,"NN-Est2",0.697948602877419,1.10159500306035,-0.302051397122581,1.11537931652549,100
"Scenario_4",200,"NN-Est1",0.924200546866686,0.365579936194417,-0.0757994531333137,0.364296324927699,100
"Scenario_4",200,"NN-Est2",0.916861712213405,0.382699618084642,-0.0831382877865955,0.382162298891598,100
"Scenario_4",500,"NN-Est1",0.928320057776894,0.112869639251233,-0.0716799422231063,0.131303434108085,100
"Scenario_4",500,"NN-Est2",0.921087207934023,0.105632688548639,-0.0789127920659769,0.129721164029472,100
"Scenario_4",1000,"NN-Est1",0.984075318211809,0.0850465926829336,-0.0159246817881905,0.0844089584741046,100
"Scenario_4",1000,"NN-Est2",0.983422306463256,0.0871633061102837,-0.0165776935367435,0.0865585914769265,100
"Scenario_4",2000,"NN-Est1",0.994090918582231,0.0508978571291422,-0.00590908141776858,0.0499597789278882,100
"Scenario_4",2000,"NN-Est2",0.994121896288174,0.0490836851665087,-0.0058781037118264,0.0482006207978247,100
"Scenario_4",5000,"NN-Est1",0.976185073007119,0.0421036089434641,-0.0238149269928808,0.0474471172932264,100
"Scenario_4",5000,"NN-Est2",0.975645681365035,0.0420404196609879,-0.0243543186349646,0.0476671781961317,100
"Scenario_4",10000,"NN-Est1",1.00135140953303,0.0200152949238117,0.00135140953303448,0.0195552483254185,100
"Scenario_4",10000,"NN-Est2",1.00136535334348,0.0199902149359178,0.00136535334347543,0.0195318316672431,100
"Scenario_5",100,"NN-Est1",4.85647137731294,8.99578809002045,3.85647137731294,8.69284326353865,20
"Scenario_5",100,"NN-Est2",4.19815650144662,8.01828385435715,3.19815650144662,7.64512014192901,20
"Scenario_5",200,"NN-Est1",4.34580473973625,2.90647800286501,3.34580473973625,4.2370391621216,25
"Scenario_5",200,"NN-Est2",3.06166608129368,4.16808347363854,2.06166608129368,4.26014118373227,25
"Scenario_5",500,"NN-Est1",NA,NA,NA,NA,0
"Scenario_5",500,"NN-Est2",NA,NA,NA,NA,0
"Scenario_5",1000,"NN-Est1",NA,NA,NA,NA,0
"Scenario_5",1000,"NN-Est2",NA,NA,NA,NA,0
"Scenario_5",2000,"NN-Est1",NA,NA,NA,NA,0
"Scenario_5",2000,"NN-Est2",NA,NA,NA,NA,0
"Scenario_5",5000,"NN-Est1",NA,NA,NA,NA,0
"Scenario_5",5000,"NN-Est2",NA,NA,NA,NA,0
"Scenario_5",10000,"NN-Est1",NA,NA,NA,NA,0
"Scenario_5",10000,"NN-Est2",NA,NA,NA,NA,0
